Requirement,Description,Primary verification
FR-001,Import local media,Happy path and unsupported media tests
FR-002,Probe/normalize metadata,Fixture probe integration
FR-003,Durable project,Reopen acceptance
FR-004,Trim,Time validation unit tests
FR-005,9:16 crop,Crop solver and golden frames
FR-006,Image overlay,Happy path/golden frame
FR-007,Raster caption,Caption unit/golden frame
FR-007A,Constrained Skull'd stings,Import validation/rate/repeat/filter graph/multiple audio/golden frame
FR-008,Preview parity,Golden frames
FR-009,Verified MP4 export,Happy/silent source acceptance
FR-010,Progress/cancel,Cancellation acceptance
FR-011,Reopen/relink,Relink/changed source acceptance
FR-012,Recent projects,Store/component integration
FR-013,Diagnostics,Bundle exclusion integration
SEC-001,No frontend shell,Capability audit
SEC-002,Path containment,Traversal unit tests
REL-001,Partial then final,Failed verification integration
PRIV-001,No network/upload,Offline acceptance/capability audit
FR-014,Optional YouTube project performance,OAuth/query/parser/link persistence unit tests and configured-channel smoke
SEC-003,YouTube credential isolation,OS credential store; no token/frontend HTTP; bounded response tests
PRIV-002,YouTube data minimization,No media/path/caption/token persistence; disconnect clear; diagnostic exclusion audit
FR-015,Local Diablo IV clip discovery,Deterministic classifier/grouping tests; configured-source scan; candidate review/apply acceptance
FR-016,Configurable moment extraction window,Point/interval anchor unit tests; offset validation/clamping; live range and explicit apply acceptance
SEC-004,Fixed clip-analysis process boundary,Fixed FFmpeg arguments; authorized source; bounded events; no frontend thresholds or raw frames
PRIV-003,Local analysis data minimization,No upload; no retained sampled frames; no media/path/frame diagnostics
